judul,dosen
IMPLEMENTASI PENGELOLAAN DATA MINING PADA RUMAH MAKAN DENGAN ALGORITMA APRIORI DAN HASH BASED PADA RUMAH MAKAN SULTAN HAFLAH PANGERAN 3,"Farid Akbar Siregar S.Kom.,M.Kom"
PENERAPAN METODE MULTI ATTRIBUT UTILITY THEORY REKOMENDASI JENIS PUPUK KELAPA SAWIT KEPADA PETANI PADA PERKEBUNAN KELAPA SAWIT DESA PASIR TUNTUNG KECAMATAN KOTA PINANG,"Fatma Sari Hutagalung S.Kom.,M.Kom"
IMPLEMENTASIPENENTUANDAUNBERACUN MENGGUNAKANMETODEK-NEARESTNEIGHBOR,"Farid Akbar Siregar S.Kom.,M.Kom"
Akses Perangkat Switch OLT ZTE menggunakan Bot Chat Telegram dengan Telnet menggunakan Algoritma Kontrol Akses Berbasis Peran (RBAC) untuk membantu konfigurasi,"Farid Akbar Siregar S.Kom.,M.Kom"
RANCANG BANGUN SMART WAREHOUSE DENGAN DETEKTOR KEBOCORAN GAS DAN SECURITY SYSTEM BERBASIS IOT,"Farid Akbar Siregar S.Kom.,M.Kom"
PERANCANGAN DAN IMPLEMENTASI SISTEM MONITORING KUALITAS UDARA BERBASIS IOT,"Martiano,S.Pd.,S.Kom.,M.Kom"
PERANCANGAN MONITORING BIMBINGAN TUGAS AKHIR BEBRBASIS WEBSITE (STUDI KASUS FAKULTAS TEKNOLOGI INFORMASI),"Fatma Sari Hutagalung S.Kom.,M.Kom"
PENERAPAN DATA MINING DALAM MENENTUKAN KINERJA PLKB (PETUGAS LAPANGAN KELUARGA BERENCANA) DENGAN MENGGUNAKAN ALGORITMA C4.5 DI DESA TIMBANG LAWAN. KEC. NAMORAMBE,"Mulkan Azhari,S.Kom.,M.Kom"
Perancangan Sistem Absensi Karyawan Menggunakan RFID Yang Terintegrasi Dengan Database Di PT.SAHARA RIZKY HOLIDAYS,"Farid Akbar Siregar S.Kom.,M.Kom"
ANALISIS PERBANDINGAN SUPPORT VECTOR MACHINE DAN RANDOM FOREST UNTUK KLASIFIKASI EMAIL PHISHING,"Mulkan Azhari,S.Kom.,M.Kom"
SISTEM MONITORING KELEMBABAN TANAH UNTUK MERAWAT TANAMAN HIAS BERBASIS INTERNET OF THINGS➀,"Mhd.Basri,S.Si.,M.Kom"
SISTEM ANTI MALING RUMAH MENGGUNAKAN BOT TELEGRAM BERBASIS INTERNET OF THINGS,"Mhd.Basri,S.Si.,M.Kom"
PENERAPAN KLASIFIKASI GERAKAN KESEHATAN YOGA MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORK BERDASARKAN KOREKSI POSTUR MANUSIA,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
IMPLEMENTASI SENSOR LOAD CELL DALAM KLASIFIKASI OBESITAS MENGGUNAKAN METODE BROCA BERBASIS IOT,"Mhd.Basri,S.Si.,M.Kom"
IMPLEMENTASI AUGMENTED REALITY DALAM PEMBELAJARAN SLANG WORD BAHASA INGGRIS MENGGUNAKAN ALGORITMA RANDOM NUMBER GENERATOR DI CASEL,"Fatma Sari Hutagalung S.Kom.,M.Kom"
IMPLEMENTASI KOTAK PENERIMA PAKET BERBASIS ESP32-CAM TERINTERGRASI TELEGRAM”,"Mhd.Basri,S.Si.,M.Kom"
IMPLEMENTASI BLOCKCHAIN PADA SMART DIGITAL SIGNATURE MENGGUNAKAN ALGORITMA RSA (RIVEST SHAMIR ADLEMAN) DAN SHA-3 (SECURE HASH ALGORITHM 3) PADA DATA CURAH HUJAN DI BMKG PROVINSI SUMATERA UTARA KABUPATEN DELI SERDANG,"Mhd.Basri,S.Si.,M.Kom"
IMPLEMENTASI RSA CRYPTOGRAPHY ALGORITMA DALAM ENKRIPSI DATA UNTUK MANIPULASI LOKASI BERDASARKAN ALAMAT IP,"Amrullah,S.Kom.,M.Kom"
SISTEM MONITORING BOX PASIR KUCING BERBASIS IOT MENGGUNAKAN NOTIFIKASI TELEGRAM,"Martiano,S.Pd.,S.Kom.,M.Kom"
Perancangan sistem absensi dosen berbasis IoT memanfaatkan RFID,"Ferdy Riza,S.T.,M.Kom"
RANCANG BANGUN APLIKASI DOORSMEER ONLINE MENGUNAKAN ALGORITMA A-STAR BERBASIS ANDROID,"Ferdy Riza,S.T.,M.Kom"
Rancang Bangun Alat Monitoring Pasang Surut Air Laut Berbasis Internet Of Things,"Mhd.Basri,S.Si.,M.Kom"
Penerapan Internet of Things Dalam Mendeteksi Api Guna Untuk Pencegahan Kebakaran Dengan Menggunakan NodeMCU,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
IMPLEMENTASI SIMPLE ADDITIVE WEIGHTING DALAM MENENTUKAN KINERJA KARYAWAN BERBASIS ANDROID BANK BSI KCP PERBAUNGAN,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
SISTEM MONITORING KUALITAS UDARA BERBASIS NOTIFIKASI SECARA REALTIME,"Halim Maulana,S.T.,M.Kom"
RANCANG BANGUN SISTEM KEAMANAN LAHAN PARKIR MENGGUNAKAN TEKNOLOGI INTERNET OF THINGS DAN RFID PADA KOMPLEK PERUMAHAN MEGALAND,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PENERAPAN METODE DEEPLEARNING UNTUK KLASIFIKASI TINGKAT ROASTING BIJI KOPI BERDASARKAN WARNA UNTUK EDUKASI BARISTA PEMULA,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
SISTEM MONITORING CERDAS TANDON AIR BERBASIS INTERNET OF THINGS,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
Implementasi Metode Gray Level Co-Occurrence Matrix Menganalisa Tekstur Kulit Wajah,"Indah Purnama Sari,S.T.,M.Kom"
Implementasi Metode Gray Level Co-Occurrence Matrix Menganalisa Tekstur Kulit Wajah,"Indah Purnama Sari,S.T.,M.Kom"
RANCANG BANGUN DETEKTOR KEBAKARAN DENGAN SPRINKLER AIR BERBASIS INTERNET OF THINGS (IOT),"Halim Maulana,S.T.,M.Kom"
PENERAPAN METODE ASSOCIATION RULE MINING MENGGUNAKAN ALGORITMA APRIORI UNTUK MENENTUKAN POLA PEMBELIAN DIMSUM HOME MADE,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
Implementasi Sistem Pendukung Keputusan Berbasis Internet Of Things (IoT) untuk Menentukan Kesehatan Tanaman Bunga Kertas Menggunakan Metode Simple Addtive Weighting (SAW),"Fatma Sari Hutagalung S.Kom.,M.Kom"
PERBANDINGAN ALGORITMA C4.5 DAN NAÏVE BAYES UNTUK MEMPREDIKSI PRESTASI SISWA/SISWI,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
Implementasi Algoritma Discrite Wavelet Tranform Untuk Menambahkan Invisible Watermarking Pada Citra Digital,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
Pembandingan Metode Keypoint Matching dan Gray Level Co-Occurance Matrix pada Citra Digital Dalam Pengenalan Sayuran Segar,"Fatma Sari Hutagalung S.Kom.,M.Kom"
SISTEM SMART CLASS BERBASIS IOT,"Fatma Sari Hutagalung S.Kom.,M.Kom"
SISTEM PENDUKUNG KEPUTUSAN PENENTUAN RUANG LINGKUP JUDUL SKRIPSI DENGAN METODE FUZZY ANALYTICAL HIERARCHY (FHAP) DAN PROFILE MATCHING (STUDI KASUS PRODI TEKNOLOGI INFORMASI UMSU),"Farid Akbar Siregar S.Kom.,M.Kom"
RANCANG BANGUN SISTEM PELACAK (GPS) UNTUK MEMONITORING PENDAKI GUNUNG BERBASIS ARDUINO,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
OPTIMASI SEO (SEARCH ENGINE OPTIMIZATION) MENEMUKAN PELUANG PERTUMBUHAN DALAM TRAFFICORGANIK PADA WEBSITE KAIA MEDIA.ID,"Halim Maulana,S.T.,M.Kom"
PERANCANGAN BANGUN ALAT RFID SCAN E-KTP DAN GPS DALAM KEAMANAN SEPEDA MOTOR BERBASIS INTERNET OFTHINGS,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
RANCANG BANGUN JARINGAN HOTSPOT SERVER MIKROTIK DENGAN METODE ONE USER TWO CLIENT PADA RUANG GURU DI SMK NEGERI 1 SARUDIK,"Amrullah,S.Kom.,M.Kom"
IMPLEMENTASI METODE COMPOSITE PERFORMANCE INDEX (CPI) DALAM MENENTUKAN KENAIKAN GOLONGAN KARYAWAN STUDI KASUS PTPN IV UNIT USAHA KEBUN MAYANG,"Fatma Sari Hutagalung S.Kom.,M.Kom"
PERBANDINGAN METODE RANDOM FOREST DAN XGBOOST PADA CUACA DI SUMATERA UTARA,"Halim Maulana,S.T.,M.Kom"
PENERAPAN ALGORITMA JARO WINKLER DISTANCE DALAM DETEKSI TYPO CHECKING DOKUMEN,"Fatma Sari Hutagalung S.Kom.,M.Kom"
MODIFIKASI METODE K-NEAREST NEIGHBOR DENGAN NORMALIZED EUCLIDEAN DISTANCE UNTUK KLASIFIKASI KUALITAS JERUK LOKAL BERASTAGI,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
KLASIFIKASI KUALITAS UDARA DI KAWASAN INDUSTRI MEDAN (KIM) MENGGUNAKAN METODE NAIVE BAYES,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
KLASIFIKASI PENYAKIT PNEUMONIA: STUDI KASUS RSUD DR PIRNGADI KOTA MEDAN,"Mulkan Azhari,S.Kom.,M.Kom"
PERANCANGAN SISTEM UNTUK MEREKOMENDASIKAN PRODUK SKINCARE MENGGUNAKAN METODE NLP,"Indah Purnama Sari,S.T.,M.Kom"
RANCANG BANGUN SISTEM SMART GOAT PADA KANDANG KAMBING BERBASIS IoT MENGGUNAKAN NodeMCU ESP8266,"Halim Maulana,S.T.,M.Kom"
Analisis Dan Perbandingan Algoritma K-Nearest Neighbors (K-NN) Dan Naïve Bayes Dalam Klasifikasi Penerima Bantuan Sosial Siswa Sekolah Menengah Pertama,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PERBANDINGAN SISTEM PREDIKSI MENGGUNAKAN METODE MONTE CARLO DENGAN METODE K-NN PADA NILAI PESERTA DIDIK UJI KOMPTENSI KEJURUAN (STUDI KASUS PADA SMK NEGERI 1 STABAT),"Indah Purnama Sari,S.T.,M.Kom"
APLIKASI DETEKSI GAMBAR HASIL SCAN MENGGUNAKAN METODE COSINE SIMILARITY BERBASIS MOBILE,"Farid Akbar Siregar S.Kom.,M.Kom"
Rancang Bangun Keamanan Pintu Ruangan menggunakan ESP32 CAM dan Blynk berbasis Internet of Things,"Halim Maulana,S.T.,M.Kom"
Rancang Bangun Prototype Jemuran Pakaian Otomatis Berbasis IOT (InternetاofاThings),"Halim Maulana,S.T.,M.Kom"
PENGEMBANGAN MODEL MACHINE LEARNING UNTUK MEMPREDIKSI KECERDASAN EMOSIONAL MAHASISWA MENGGUNAKAN TEKNOLOGI NLP,"Halim Maulana,S.T.,M.Kom"
Prototype System Control Suhu dan Humidity Pada Dry House atau Dom Penjemuran Kopi,"Mhd.Basri,S.Si.,M.Kom"
BOX PORTABLE DETEKSI GEMPA BERBASIS IOT DENGAN NOTIFIKASI TELEGRAM,"Mhd.Basri,S.Si.,M.Kom"
IMPLEMENTASI SISTEM MONITORING KOS BERBASIS INTERNET OF THINGS (IOT) DENGAN MENGGUNAKAN SENSOR PIR MOTION HUMAN DETECTION,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
SISTEM INFORMASI PENGOLAHAN DATA PASIEN DIPUSKESMAS DOLOK MASIHUL MENGGUNAKAN METODE WATERFAL,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
ANALISIS KEPUASAN CUSTOMER TERHADAP PRODUK VAPE MENGGUNAKAN NET PROMOTORE SCORE PADA CV. GEUBRINA RACHMAT RIZKY,"DR.Zainal Azis, M.Si"
ANALISIS DELIVERY SERVICE AND SUPPORT (DSS) PADA TATA KELOLA TEKNOLOGI INFORMASI (IT GOVERNANCE) MENGGUNAKAN FRAMEWORK COBIT 5 (STUDI KASUS : PT. INDONESIA GADAI OKE),"Martiano,S.Pd.,S.Kom.,M.Kom"
IMPLEMENTASI ALGORITMA DIJKSTRA DALAM PENENTUAN RUTE DISTRIBUSI BERAS SPHP DI PERUM BULOG KANWIL SUMUT,"Indah Purnama Sari,S.T.,M.Kom"
ANALISIS DAN IMPLEMENTASI DBSCAN DALAM CLUSTERISASI POLA BULLYING MEDIA SOSIAL TWITTER PADA AKUN GIBRAN RAKABUMING RAKA,"Martiano,S.Pd.,S.Kom.,M.Kom"
ANALISIS DAN PERANCANGAN SISTEM INFORMASI EVALUASI KINERJA MAHASISWA MAGANG MENGGUNAKAN ALGORITMA VIKOR PADA BBPSDMP KOMINFO MEDAN,"Martiano,S.Pd.,S.Kom.,M.Kom"
KLASIFIKASI PENJUALAN PRODUK KULINER DI TENANT 1 PT. USAHA MITRA MILENIAL MENGGUNAKAN METODE K-NEAREST NEIGHBORS (KNN),"Fatma Sari Hutagalung S.Kom.,M.Kom"
PENERAPAN ALGORITMA HYBRID C4.5 DAN NAÏVE BAYES UNTUK MENENTUKAN JURUSAN KULIAH SISWA DI SMA NEGERI 8 MEDAN BERBASIS WEB,"Ferdy Riza,S.T.,M.Kom"
PENENTUAN STRATEGI PEMASARAN DENGAN ALGORITMA TOPSIS UNTUK PENJUALAN STUDI KASUS UMKM JAYA BARU,"Amrullah,S.Kom.,M.Kom"
ANALISIS KASUS TK JABAL RAHMAH MULIA UNTUK MENENTUKAN REWARD BAGI GURU MENGGUNAKAN METODE TOPSIS DAN SAW,"Fatma Sari Hutagalung S.Kom.,M.Kom"
PREDIKSI KEBUTUHAN STOK BAHAN BAKAR PADA SPBU DENGAN ALGORITMA RECURRENT NEURAL NETWORK (RNN),"Fatma Sari Hutagalung S.Kom.,M.Kom"
IMPLEMENTASI METODE FUZZY TIME SERIES UNTUK PREDIKSI PERMINTAAN PRODUCK COCA COLA DI BUKIT SINAR MART,"Mulkan Azhari,S.Kom.,M.Kom"
PREDIKSI PENJUALAN KAMBING DENGAN MENGGUNAKAN METODE SIMPLE EXPONENTIAL SMOTHING,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
ANALISIS SENTIMEN ULASAN PENGGUNA TERHADAP APLIKASI MIFX DI PLAY STORE MENGGUNAKAN PENDEKATAN VADER DAN METODE NAÏVE BAYES,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
PREDIKSI HARGA CABAI MERAH DI PASARAYA MMTC MEDAN MENGGUNAKAN K-NEAREST NEIGHBOR,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
KLASIFIKASI TINGKAT KEBERHASILAN PRODUKSI AYAM BROILER MENGGUNAKAN ALGORITMA SUPPORT VECTOR MACHINE (SVM),"Dr.Al-khowarizmi,S.Kom.,M.Kom"
OPTIMALISASI CONVOLUTION NEURAL NETWORK ( CNN ) DALAM MENGINDENTIFIKASI TINGKAT KEMATANGAN BUAH CPO,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISIS SENTIMEN PENJUALAN THRIFTING DENGAN MENGGUNAKAN METODE NAÏVE BAYES,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISIS DAN PERANCANGAN SISTEM INFORMASI MANAJEMEN INVENTARIS MENGGUNAKAN METODE RAPID APPLICATION DEVELOPMENT (RAD) PADA PT. INDONESIA GADAI OKE,"Martiano,S.Pd.,S.Kom.,M.Kom"
IMPLEMENTASI ALGORITMA K-MEDOIDS DALAM SISTEM CLUSTERING UNTUK PENENTUAN STRATEGI PROMOSI DI SMK BINA SATRIA,"Dr. Marah Doly Nasution, S.Pd.,M.Si"
ANALISIS KEPUASAN PENGGUNA TERHADAP KUALITAS LAYANAN APLIKASI LIVIN BY MANDIRI MENGGUNAKAN METODE E-SERVQUAL DAN IMPORTANCE PERFORMANCE ANALYSIS (IPA),"Mhd.Basri,S.Si.,M.Kom"
PENERAPAN ALGORITMA C4.5 DALAM KLASIFIKASI DATA REKAM MEDIS DI KLINIK PRATAMA PRIMA MELATI,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
KLASIFIKASI BARANG PROMOSI DAN HARGA DISKON DI ALFAMIDI TURI MENGGUNAKAN METODE RANDOM FOREST BERBASIS WEB,"Halim Maulana,S.T.,M.Kom"
PENERAPAN METODE FUZZY LOGIC PADA SISTEM REKOMENDASI NUTRISI IBU HAMIL,"Amrullah,S.Kom.,M.Kom"
IMPLEMENTASI ALGORITMA DECISION TREE UNTUK ANALISIS MINAT SISWA BERDASARKAN MATA PELAJARAN DI MTS AISYIYAH BINJAI,"DR.Irfan,M.Si"
ANALISIS DAN IMPLEMENTASI SUPPORT VECTOR MACHINE UNTUK PREDIKSI JUMLAH PENUMPANG KAPAL DI PT PELNI CABANG MEDAN,"Wilda Rina, S.T.,M.Kom"
ANALISIS DAN IMPLEMENTASI HIRING MANAGEMENT SYSTEM DENGAN PENDEKATAN BERBASIS RISIKO MENGGUNAKAN MODEL SPIRAL DI PT. INDONESIA GADAI OKE,"Martiano,S.Pd.,S.Kom.,M.Kom"
"Identifikasi Buah Kelapa Sawit Berdasarkan Citra Red, Green, Blue Menggunakan Algoritma Naïve Bayes Classifier","Mulkan Azhari,S.Kom.,M.Kom"
ESTIMASI PERBANDINGAN HARGA MOBIL BEKAS TOYOTA DAN DAIHATSU MENGGUNAKAN MULTIPLE LINEAR REGRESSION PADA SHOWROOM FAMILY MOBIL MEDAN,"Halim Maulana,S.T.,M.Kom"
KLASTERISASI MINAT DAN BAKAT SISWA MENGGUNAKAN METODE X-MEANS BERBASIS WEB (Studi Kasus: SMA Negeri 1 Hamparan Perak),"Andi Zulherry,S.Kom.,M.Kom"
ANALISIS DAN PERANCANGAN SISTEM INFORMASI MANAJEMEN DATA REKAM MEDIS DENGAN PENDEKATAN HUMAN CENTERED DESIGN,"Andi Zulherry,S.Kom.,M.Kom"
ANALISIS DAN IMPLEMENTASI MENGGUNAKAN ALGORITMA DECISION TREE DALAM MEMPREDIKSI KEMATIAN AYAM BROILER,"Farid Akbar Siregar S.Kom.,M.Kom"
ANALISIS KINERJA DENGAN CLUSTERING TERHADAP KEPUASAN PELANGGAN PADA PERUSAHAAN AIR MINUM PERUMDA TIRTANADI MENGGUNAKAN METODE FUZZY K-MEANS,"Indah Purnama Sari,S.T.,M.Kom"
ANALISIS DAN IMPLEMENTASI ALGORITMA ID3 DALAM PENGUKURAN KINERJA KARYAWAN DI PT ARMA ANUGRAH ABADI,"Martiano,S.Pd.,S.Kom.,M.Kom"
SISTEM PAKAR KEAYAKAN PENERIMAAN BANTUAN PINJAMAN KREDIT UKM DENGAN METODE BREADTH FIRST SEARCH,"Dr. Marah Doly Nasution, S.Pd.,M.Si"
SISTEMDETEKSIDINIKARIESGIGI MENGGUNAKAN ALGORITMAK-NEARESTNEIGHBORBERBASISWEB,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
PENERAPAN ALGORITMA K-NEAREST NEIGHBORS (KNN) DAN NAÏVE BAYES UNTUK MENENTUKAN PEMILIHAN PENERIMA BANTUAN SOSIAL BERDASARKAN EKONOMI MASYARAKAT,"Ferdy Riza,S.T.,M.Kom"
PENERAPAN DAN PERBANDINGAN METODE SAW DAN AHP DALAM SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN SISWA BERPRESTASI DI ZAHIRA SCHOOL,"Amrullah,S.Kom.,M.Kom"
IMPLEMENTASI ASSOCIATION RULE MINING UNTUK MEMPREDIKSI PEMASARAN PRODUK EMINA BERBASIS WEB PADA PT. PARAGON TECHNOLOGY AND INNOVATION,"Martiano,S.Pd.,S.Kom.,M.Kom"
ANALISIS KEPUASAN DAN LOYALITAS KONSUMEN PADA PT PESTA PORA ABADI MENGGUNAKAN ALGORITMA NAIVE BAYES,"Zuli Agustina Gultom,M.Si"
ANALISA DAN IMPLEMENTASI METODE COPRAS DALAM PEMILIHAN GURU TERBAIK DI PERGURUAN ISLAM MTs CERDAS MURNI,"Mhd.Basri,S.Si.,M.Kom"
Decision Support System (DSS) Memprediksi Kerusakan HP di Pioneer Service Menggunakan Algoritma C4.5 Berbasis Web,"Andi Zulherry,S.Kom.,M.Kom"
Analisis dan Implementasi Metode Genetic Fuzzy System Dalam Prediksi Tingkat Kunjungan Pasien di Klinik Pratama Prima Melati,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
Analisis dan Implementasi Economic Order Quantrity pada Manajemen Perjualan dan Persediaan Obat di Klinik Pratama Prima Melati,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
SISTEM INFORMASI MANAJEMEN PEMBINAAN UMKM DESA PEMATANG JOHAR MENGGUNAKAN METODE VALUE CHAIN ANALYSIS (VCA),"Amrullah,S.Kom.,M.Kom"
KLASIFIKASI CUSTOMER INTERNAL DALAM MENGETAHUI TINGKAT KEPUASAN PELANGGAN PADA PT.EDUCATION NUSANTARA CONNECT DENGAN MENGGUNKAN METODE XGBOOST,"Rizaldy Khair S.Kom.,M.Kom"
ANALISIS PERSEDIAAN OBAT DENGAN MENGGUNAKAN METODE FIFO DAN AVERAGE DI KLINIK ASRAMA ARHANUD BINJAI,"Yohanni Syahra,S.Si.,M.Kom"
ANALISIS SENTIMEN TERHADAP JUAL BELI PRODUK SEPATU PRELOVED BERDASARKAN ULASAN X DENGAN PERBANDINGAN ALGORITMA SUPPORT VECTOR MACHINE (SVM) DAN LONG SHORT TERM MEMORY (LSTM),"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISA DAN IMPLEMENTASI LONG SHORT-TERM MEMORY (LSTM) DALAM KEBUTUHAN PERSEDIAAN BARANG DI PT. GUNUNG SARI INDONESIA,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
PENERAPAN METODE MOORA DALAM PENENTUAN PROMOSI PADA KARYAWAN PTPN 4,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISA PENERAPAN MODEL K-NEAREST NEIGHBORS (KNN) DALAM MACHINE LEARNING UNTUK MENENTUKAN KONSENTRASI PROGRAM STUDI SISWA KELAS 12 DI SEKOLAH SMK TRITECH INFORMATIKA,"Amrullah,S.Kom.,M.Kom"
ANALISIS DAN IMPLEMENTASI SISTEM KEAMANAN DATA INFORMASI KEUANGAN MENGGUNAKAN ALGORITMA CAMELLIA PADA SD MUHAMMADIYAH 08 MEDAN,"Ferdy Riza,S.T.,M.Kom"
ANALISIS DAN IMPLEMENTASI MOVING AVERAGE (MA) DALAM MEMPREDIKSI PERSEDIAAN BAHAN BAKU KOPI PADA KOPI KENANGAN CABANG CENTER POINT MEDAN,"Dr. Marah Doly Nasution, S.Pd.,M.Si"
ANALISIS DAN IMPLEMENTASI ALGORITMA GRAPHIC RATING SCALE PADA KINERJA GURU DI SD NEGERI 173270 SIBORONGBORONG,"Zuli Agustina Gultom,M.Si"
ANALISIS DAN IMPLEMENTASI PENENTUAN RUTE DISTRIBUSI TABUNG GAS 3KG DENGAN MENGGUNAKAN ALGORITMA ANT COLONY DI PT. HARITSAH,"Wilda Rina, S.T.,M.Kom"
KLASIFIKASI CUSTOMER CHURN PADA PT. EDUCATION NUSANTARA CONNECT MENGGUNAKAN METODE RANDOM FOREST,"Mhd.Basri,S.Si.,M.Kom"
ANALISIS KEPUASAN PENGGUNA APLIKASI UMSU ACADEMY MENGGUNAKAN METODE NAÏVE BAYES,"Ferdy Riza,S.T.,M.Kom"
ANALISIS SENTIMEN GAME MOBA (MULTIPLAYER ONLINE BATTLE ARENA) HONOR OF KINGS PADA ULASAN GOOGLE PLAY STORE DENGAN MENGGUNAKAN PENDEKATAN TEXT MINING DAN METODE NAÏVE BAYES,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
PENENTUAN PEMBOBOTAN PEMILIHAN PROGRAM EKSTRAKURIKULER BERDASARKAN KRITERIA DAN KEMAMPUAN SISWA MENGGUNAKAN ALGORITMA COSINE SIMILARITY DI SMA CERDAS MURNI,"Wilda Rina, S.T.,M.Kom"
ANALISIS DAN IMPLEMENTASI ALGORITMA LOGISTIK REGRESI DALAM MENGKLASIFIKASI CALON KONSUMEN BARBERSHOP DI KOTA MEDAN SEBAGAI IDE PENGEMBANGAN BISNIS APLIKASI PANGKASIN,"Halim Maulana,S.T.,M.Kom"
Klasifikasi Data Rekam Medis dengan Algoritma K-Nearest Neighbor pada Klinik SMEC Lubuk Pakam,"Martiano,S.Pd.,S.Kom.,M.Kom"
ANALISIS DAN IMPLEMENTASI WEIGHTED SCORING DALAM PENGELOLAAN SISTEM PEMBAYARAN SPP PADA SMP MUHAMMADIYAH 57,"Martiano,S.Pd.,S.Kom.,M.Kom"
ANALISIS DAN IMPLEMENTASI SIX SIGMA DALAM PERANCANGAN SISTEM INFORMASI PADA KANTIN BANK INDONESIA SUMATERA UTARA,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
IMPLEMENTASI GRADIENT BOOSTING MACHINE UNTUK KLASIFIKASI DATA KEBERHASILAN SISWA PADA SD MUHAMMADIYAH MEDAN TIMUR BERBASIS WEB,"Halim Maulana,S.T.,M.Kom"
ANALISIS KINERJA ALGORITMA FPM DALAM MENGIDENTIFIKASI POLA PEMBELIAN IMPULSIF PADA SHOPEE BERDASARKAN FENOMENA FOMO,"Dr.Al-khowarizmi,S.Kom.,M.Kom"
ANALISIS DAN IMPLEMENTASI JARINGAN SARAF TIRUAN DENGAN METODE LEARNING VECTOR QUANTIZATION (LVQ) UNTUK PENGENALAN MOTIF BATIK NUSANTARA,"Martiano,S.Pd.,S.Kom.,M.Kom"
ANALISIS KINERJA ALGORITMA K-MEANS DAN K-MEDOIDS DALAM PENGELOMPOKAN PENERIMA BANTUAN SOSIAL DI KELURAHAN TERJUN,"Mulkan Azhari,S.Kom.,M.Kom"
SISTEM PENENTUAN CALON PENERIMA BANTUAN DANA ENABLER PASIEN TUBERKULOSIS (RESISTENSI OBAT) DI YAYASAN MENTARI MERAKI ASA MENGGUNAKAN ALGORITMA FUZZY SAW,"Mhd.Basri,S.Si.,M.Kom"
PERANCANGAN APLIKASI PREDIKSI STOK KERTAS HVS MENGGUNAKAN METODE MONTE CARLO,"Andi Zulherry,S.Kom.,M.Kom"
PERANCANGAN PENGAMANAN DOKUMEN DIGITAL MENGGUNAKAN ALGORITMA KRIPTOGRAFI ADVANCED ENCRYPTION STANDARD (AES),"Ferdy Riza,S.T.,M.Kom"
ANALISIS SENTIMEN UJARAN KEBENCIAN PADA DRIVER GOJEK MENGGUNAKAN ALGORITMA NAÏVE BAYES DI PLATFORM FACEBOOK,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
ANALISIS SENTIMEN HATESPEECH TERHADAP GACOAN PADA PLATFORM X DENGAN MENGGUNAKAN SUPPORT VECTOR MACHINE,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
Penerapan Metode Analytical Hierarchy Process Dalam Pemilihan Subkontraktor Terbaik Pada PT. Tatha Group,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
ANALISIS KEPUASAN PENGGUNA MOBILE BANKING DANAMON MENGGUNAKAN METODE TECHNOLOGY ACCEPTENCE MODEL (TAM),"Yohanni Syahra,S.Si.,M.Kom"
IMPLEMENTASI ALGORITMA DECISION TREE UNTUK KLASIFIKASI PEMILIHAN SEKOLAH LANJUTAN TINGKAT ATAS DI MTS AL-HASANAH MEDAN,"Mulkan Azhari,S.Kom.,M.Kom"
ANALISIS DAN IMPLEMENTASI ALGORITMA TOPSIS PADA SISTEM PENERIMAAN CALON SISWA BARU DI MTS AL-HASANAH MEDAN,"Rizaldy Khair S.Kom.,M.Kom"
ANALISIS SEGMENTASI BANTUAN LANSUNG TUNAI (BLT) ALGORITMA AGGLOMERATIVE CLUSTERING PADA DESA BANDAR PULAU PEKAN,"Martiano,S.Pd.,S.Kom.,M.Kom"
